[Thu Jun 23 16:01:13.304050 2016] [:error] [pid 37210] [client 10.10.14.113:60403] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:06.456094 2016] [:error] [pid 37378] [client 10.10.14.113:60421] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:07.316666 2016] [:error] [pid 37702] [client 10.10.14.113:60423] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:07.918578 2016] [:error] [pid 38126] [client 10.10.14.113:60422] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:08.273274 2016] [:error] [pid 37702] [client 10.10.14.113:60423] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:08.582946 2016] [:error] [pid 37378] [client 10.10.14.113:60421] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:08.879301 2016] [:error] [pid 38126] [client 10.10.14.113:60422] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:09.172810 2016] [:error] [pid 37378] [client 10.10.14.113:60421] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:02:09.483729 2016] [:error] [pid 37702] [client 10.10.14.113:60423] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14
[Thu Jun 23 16:05:20.467221 2016] [:error] [pid 38126] [client 10.10.14.113:60457] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:05:22.171482 2016] [:error] [pid 38126] [client 10.10.14.113:60457] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:05:35.927582 2016] [:error] [pid 37270] [client 10.10.14.113:60456] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:05:36.785477 2016] [:error] [pid 37378] [client 10.10.14.113:60465] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:05:37.936289 2016] [:error] [pid 37270] [client 10.10.14.113:60456] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
